TYPE,MODEL,FUEL,YEAR,DRIVEKM,PRICE
1,3,2,2016,27670,750
1,88,2,2017,105000,490
1,52,2,2015,87647,600
1,52,2,2016,27981,750
1,47,2,2012,130000,490
1,52,2,2009,69000,300
1,47,2,2014,140000,631
1,47,2,2012,140000,501
1,88,2,2012,106000,211
1,52,2,2010,57237,330
1,47,2,2012,146225,550
1,88,2,2013,46304,559
1,52,2,2012,93000,530
1,52,2,2014,59496,580
1,88,2,2011,91597,370
1,88,2,2019,13522,900
1,52,2,2012,110000,250
1,52,2,2018,45635,679
1,52,2,2017,85508,720
1,52,2,2019,2707,949
1,47,2,2014,54720,760
1,47,2,2012,79688,620
1,47,2,2015,128552,599
1,52,2,2011,77000,260
1,81,2,2010,59202,330
1,88,2,2012,63188,429
1,47,2,2012,135039,555
1,88,2,2016,117352,539
1,88,2,2018,14358,870
1,88,2,2012,100610,230
1,88,2,2019,6736,950
1,88,2,2016,88142,590
1,47,2,2012,138612,530
1,47,2,2018,5976,1380
1,88,2,2017,21515,719
1,81,2,2010,99951,290
1,47,2,2014,59493,650
1,52,2,2011,61846,480
1,88,3,2012,127571,250
1,52,2,2016,27670,750
1,52,2,2008,78155,270
1,88,2,2019,8270,950
1,47,2,2016,120000,420
1,52,4,2016,122600,429
1,52,2,2006,65312,170
1,52,2,2011,98000,419
1,88,2,2013,81447,350
1,52,2,2014,72310,530
1,88,2,2012,54641,450
1,47,2,2012,30260,690
1,52,2,2010,120000,260
1,88,2,2012,71614,399
1,88,2,2013,52385,270
1,52,2,2011,163382,330
1,88,2,2019,9652,1020
1,88,3,2011,122100,299
1,52,2,2014,110234,399
1,88,2,2016,149211,470
1,88,2,2011,95600,369
1,88,2,2016,87947,590
1,47,2,2018,11796,1420
1,47,2,2019,4617,1520
1,52,2,2014,92948,590
1,88,2,2016,22300,659
1,88,3,2011,131800,329
1,52,4,2016,109100,448
1,52,4,2011,131506,470
1,88,2,2014,80860,399
1,47,2,2017,56032,950
1,88,2,2013,73483,220
1,88,2,2011,77917,210
1,47,2,2014,102389,649
1,47,2,2015,48351,690
1,47,2,2018,41139,900
1,47,2,2015,20051,769
1,88,2,2014,49587,480
1,52,2,2013,94180,400
1,88,2,2015,46959,599
1,88,2,2015,45476,620
1,52,2,2017,34494,1190
1,52,2,2014,78444,590
1,52,2,2016,18035,750
1,52,3,2017,34992,888
1,52,2,2011,124333,270
1,52,2,2012,16883,280
1,52,2,2017,125443,730
1,47,2,2012,200000,430
1,81,2,2009,127000,190
1,88,2,2011,79104,420
1,52,2,2011,72925,570
1,88,2,2016,46690,799
1,88,3,2012,210000,280
1,81,2,2008,111900,160
1,88,2,2013,82086,440
1,88,2,2015,52156,540
1,52,2,2015,39219,690
1,88,2,2017,49128,720
1,88,3,2013,104140,480
1,52,2,2016,15834,599
1,52,2,2015,17683,750
1,88,3,2012,210000,280
1,81,2,2008,111900,160
1,88,2,2013,82086,440
1,88,2,2015,52156,540
1,52,2,2015,39219,690
1,88,2,2017,49128,720
1,88,3,2013,104140,480
1,52,2,2016,15834,599
1,52,2,2015,17683,750
1,52,2,2015,27197,770
1,52,2,2017,77617,691
1,52,2,2009,122281,251
1,52,2,2015,50572,560
1,52,2,2014,51677,490
1,52,2,2014,56258,590
1,52,2,2009,111218,290
1,52,2,2014,16870,670
1,88,2,2011,80000,229
1,52,2,2009,117000,159
1,52,2,2018,21393,760
1,47,2,2013,69710,750
1,52,2,2015,53700,390
1,52,3,2017,61800,520
1,47,2,2015,72800,570
1,52,2,2019,11157,1200
1,52,2,2005,136816,159
1,52,2,2015,61350,635
1,88,2,2019,2859,850
1,52,2,2011,107059,389
1,47,2,2019,20434,1240
1,52,2,2015,104445,569
1,52,4,2011,131506,470
1,88,2,2018,12280,950
1,47,2,2013,95602,500
1,88,2,2013,56252,250
1,52,2,2016,39349,530
1,52,2,2013,26566,580
1,52,2,2007,190328,155
1,52,2,2011,38982,520
1,52,2,2012,129800,300
1,52,2,2012,50783,489
1,47,2,2014,72340,799
1,47,2,2012,102209,420
1,52,2,2015,78000,350
1,88,2,2017,27000,720
1,47,2,2012,78800,680
1,47,2,2015,87511,730
1,88,2,2012,115260,260
1,52,2,2012,143739,260
1,88,2,2011,81487,320
1,52,2,2011,32424,490
1,52,2,2017,59200,770
1,88,2,2015,46500,590
1,52,2,2017,51709,830
1,47,2,2015,36782,840
1,119,5,2019,595,290
1,88,2,2013,33531,480
1,52,2,2015,93854,590
1,88,2,2019,31169,1050
1,52,2,2009,106228,330
1,52,4,2016,119520,480
1,52,4,2016,123939,480
1,47,2,2015,40000,1090
1,52,2,2017,8700,950
1,52,2,2014,84300,570
1,52,2,2017,20000,890
1,47,4,2014,101000,799
1,47,2,2014,25582,1020
1,52,2,2010,76398,260
1,52,2,2015,29513,750
1,52,2,2014,63930,699
1,88,2,2016,71380,700
1,88,2,2016,73554,690
1,52,2,2015,56783,450
1,52,2,2009,113579,269
1,88,3,2012,41120,380
1,88,2,2016,92486,590
1,52,2,2010,179998,150
1,52,2,2010,48694,240
1,52,2,2012,80755,480
1,88,2,2013,60000,460
1,52,2,2012,106653,210
1,52,2,2018,21393,760
1,47,2,2018,43128,1090
1,88,2,2015,7564,860
1,52,2,2019,13558,999
1,47,2,2013,69710,750
1,47,2,2016,97473,920
1,88,2,2012,115000,200
1,52,2,2012,60000,330
1,88,2,2016,45000,615
1,52,2,2008,61452,280
1,88,2,2017,51712,697
1,52,4,2014,57266,659
1,88,2,2016,42000,680
1,52,2,2011,71037,450
1,47,2,2018,28046,1280
1,52,2,2008,83260,170
1,52,2,2017,32881,949
1,88,2,2016,76975,660
1,52,2,2015,29513,750
1,52,2,2014,63930,699
1,88,2,2016,71380,700
1,88,2,2016,73554,690
1,52,2,2015,56783,450
1,52,2,2009,113579,269
1,88,3,2012,41120,380
1,88,2,2016,92486,590
1,52,2,2010,179998,150
1,52,2,2010,48694,240
1,52,2,2012,80755,480
1,88,2,2013,60000,460
1,52,2,2012,106653,210
1,52,2,2018,21393,760
1,47,2,2018,43128,1090
1,88,2,2015,7564,860
1,52,2,2019,13558,999
1,47,2,2013,69710,750
1,47,2,2016,97473,920
1,88,2,2012,115000,200
1,52,2,2012,60000,330
1,88,2,2016,45000,615
1,52,2,2008,61452,280
1,88,2,2017,51712,697
1,52,4,2014,57266,659
1,88,2,2016,42000,680
1,52,2,2011,71037,450
1,47,2,2018,28046,1280
1,52,2,2008,83260,170
1,52,2,2017,32881,949
1,88,2,2016,76975,660
1,88,2,2013,73938,480
1,47,2,2012,79400,790
1,52,2,2016,17047,699
1,47,2,2013,117566,660
1,52,2,2010,140000,260
1,88,2,2016,20550,699
1,52,2,2010,104651,299
1,52,2,2012,28898,360
1,47,2,2013,39974,890
1,52,2,2016,73771,480
1,88,2,2015,33431,650
1,52,2,2016,10900,699
1,52,2,2011,81064,460
1,52,2,2014,36847,660
1,47,2,2015,140433,699
1,47,2,2019,7379,1300
1,88,2,2017,34172,690
1,52,2,2015,57363,670
1,47,2,2018,25000,1270
1,47,2,2012,91889,699
1,88,2,2016,140092,480
1,88,2,2013,33000,380
